state,statefips,timelimit_m,timelimit_y,sanction_m,sanction_y,schreq_m,schreq_y
Alabama,1,10,1996,11,1996,.,.
Alaska,2,7,1997,7,1997,7,1997
Arizona,4,11,1995,11,1995,7,1997
Arkansas,5,7,1994,7,1997,7,1997
California,6,.,.,1,1998,1,1998
Colorado,8,7,1997,7,1997,7,1997
Connecticut,9,1,1996,1,1996,.,.
Delaware,10,2,1998,3,1997,3,1997
DC,11,3,1997,3,1997,.,.
Florida,12,9,1996,10,1996,7,1996
Georgia,13,1,1994,1,1994,7,1996
Hawaii,15,2,1997,7,1997,.,.
Idaho,16,7,1997,7,1997,7,1997
Illinois,17,7,1997,10,1995,11,1993
Indiana,18,10,1996,5,1995,7,1996
Iowa,19,1,1997,10,1993,7,1997
Kansas,20,10,1996,10,1996,.,.
Kentucky,21,5,1997,10,1996,8,1997
Louisiana,22,1,1997,1,1997,6,1997
Maine,23,.,.,11,1996,.,.
Maryland,24,10,1996,10,1996,3,1996
Massachusetts,25,.,.,11,1995,11,1995
Michigan,26,.,.,10,1994,.,.
Minnesota,27,7,1998,7,1997,.,.
Mississippi,28,10,1996,7,1997,10,1995
Missouri,29,10,1997,6,1995,.,.
Montana,30,8,1997,2,1997,.,.
Nebraska,31,1,1998,12,1996,1,1998
Nevada,32,1,1998,12,1996,1,1997
New Hampshire,33,5,1997,10,1996,.,.
New Jersey,34,4,1997,10,1992,7,1997
New Mexico,35,7,1997,7,1997,7,1997
New York,36,12,1996,11,1997,1,1999
North Carolina,37,7,1996,7,1996,7,1996
North Dakota,38,7,1997,7,1997,7,1998
Ohio,39,7,1996,7,1996,.,.
Oklahoma,40,11,1997,10,1996,10,1997
Oregon,41,7,1996,7,1996,.,.
Pennsylvania,42,3,1997,3,1997,.,.
Rhode Island,44,5,1997,5,1997,.,.
South Carolina,45,7,1997,10,1996,1,1997
South Dakota,46,6,1994,6,1994,3,1997
Tennessee,47,9,1996,9,1996,8,1996
Texas,48,1,1997,6,1996,8,1996
Utah,49,1,1993,7,1996,7,1998
Vermont,50,.,.,7,1994,.,.
Virginia,51,10,1997,2,1997,6,1996
Washington,53,7,1998,1,1997,6,2004
West Virgina,54,1,1997,2,1996,9,1997
Wisconsin,55,3,1997,1,1996,1,1998
Wyoming,56,1,1996,1,1997,9,1996
