,GPCP_g,GPCP_g_l,gdp_g,gdp_g_l,y_0,polity2l,ethfrac,relfrac,Oil,lpopl1,lmtnest,ccode,year,any_prio,war_prio
0,-0.07965317,-0.10758667,-0.03703709,0.01963748,0.662,-7.0,0.78328174,0.6122,1.0,8.9334,2.3702438,540.0,1981-01-01,1.0,1.0
1,0.15567964,-0.07965317,0.044615455,-0.03703709,0.662,-7.0,0.78328174,0.6122,1.0,8.959697,2.3702438,540.0,1982-01-01,1.0,1.0
2,-0.034482066,0.15567964,-0.008836586,0.044615455,0.662,-7.0,0.78328174,0.6122,1.0,8.985946,2.3702438,540.0,1983-01-01,1.0,1.0
3,0.059924528,-0.034482066,0.026745925,-0.008836586,0.662,-7.0,0.78328174,0.6122,1.0,9.012134,2.3702438,540.0,1984-01-01,1.0,1.0
4,-0.018276548,0.059924528,0.028943619,0.026745925,0.662,-7.0,0.78328174,0.6122,1.0,9.035987,2.3702438,540.0,1985-01-01,1.0,1.0
5,0.21601908,-0.018276548,-0.002812987,0.028943619,0.662,-7.0,0.78328174,0.6122,1.0,9.060099,2.3702438,540.0,1986-01-01,1.0,1.0
6,-0.103501625,0.21601908,0.011283521,-0.002812987,0.662,-7.0,0.78328174,0.6122,1.0,9.087155,2.3702438,540.0,1987-01-01,1.0,1.0
7,0.14791209,-0.103501625,0.022315163,0.011283521,0.662,-7.0,0.78328174,0.6122,1.0,9.11427,2.3702438,540.0,1988-01-01,1.0,1.0
8,-0.116581805,0.14791209,-0.043656215,0.022315163,0.662,-7.0,0.78328174,0.6122,1.0,9.141418,2.3702438,540.0,1989-01-01,1.0,1.0
9,0.052566122,-0.116581805,-0.03351065,-0.043656215,0.662,-7.0,0.78328174,0.6122,1.0,9.168476,2.3702438,540.0,1990-01-01,1.0,1.0
10,-0.20093897,0.052566122,-0.03185543,-0.03351065,0.662,-7.0,0.78328174,0.6122,1.0,9.212338,2.3702438,540.0,1991-01-01,1.0,1.0
11,-0.23940173,-0.20093897,-0.08411914,-0.03185543,0.662,-3.0,0.78328174,0.6122,1.0,9.16115,2.3702438,540.0,1992-01-01,1.0,1.0
12,0.45613328,-0.23940173,-0.26336798,-0.08411914,0.662,0.0,0.78328174,0.6122,1.0,9.269552,2.3702438,540.0,1993-01-01,1.0,1.0
13,-0.13509859,0.45613328,-0.019394048,-0.26336798,0.662,-1.0,0.78328174,0.6122,1.0,9.238499,2.3702438,540.0,1994-01-01,1.0,1.0
14,-0.0066473167,-0.13509859,0.069228396,-0.019394048,0.662,-1.0,0.78328174,0.6122,1.0,9.271148,2.3702438,540.0,1995-01-01,1.0,0.0
15,-0.07016658,-0.0066473167,0.06647016,0.069228396,0.662,-2.0,0.78328174,0.6122,1.0,9.303102,2.3702438,540.0,1996-01-01,1.0,0.0
16,-0.06334932,-0.07016658,0.030391987,0.06647016,0.662,-2.0,0.78328174,0.6122,1.0,9.334077,2.3702438,540.0,1997-01-01,1.0,1.0
17,-0.06949023,-0.06334932,0.0024375962,0.030391987,0.662,-3.0,0.78328174,0.6122,1.0,9.363824,2.3702438,540.0,1998-01-01,1.0,1.0
18,0.30919966,-0.06949023,-0.0016530666,0.0024375962,0.662,-3.0,0.78328174,0.6122,1.0,9.392871,2.3702438,540.0,1999-01-01,1.0,1.0
19,-0.031209763,-0.08152759,0.05655304,0.054924212,1.056,-7.0,0.61817753,0.46499997,0.0,8.150179,0.0,434.0,1981-01-01,0.0,0.0
20,0.038273197,-0.031209763,-0.13508923,0.05655304,1.056,-7.0,0.61817753,0.46499997,0.0,8.179761,0.0,434.0,1982-01-01,0.0,0.0
21,-0.11017888,0.038273197,-0.009823173,-0.13508923,1.056,-7.0,0.61817753,0.46499997,0.0,8.210124,0.0,434.0,1983-01-01,0.0,0.0
22,0.12808706,-0.11017888,0.024801563,-0.009823173,1.056,-7.0,0.61817753,0.46499997,0.0,8.241177,0.0,434.0,1984-01-01,0.0,0.0
23,0.016300341,0.12808706,0.07260411,0.024801563,1.056,-7.0,0.61817753,0.46499997,0.0,8.272826,0.0,434.0,1985-01-01,0.0,0.0
24,0.0019970469,0.016300341,-0.040613785,0.07260411,1.056,-7.0,0.61817753,0.46499997,0.0,8.304742,0.0,434.0,1986-01-01,0.0,0.0
25,-0.10598074,0.0019970469,-0.06396986,-0.040613785,1.056,-7.0,0.61817753,0.46499997,0.0,8.336869,0.0,434.0,1987-01-01,0.0,0.0
26,0.17481922,-0.10598074,0.0,-0.06396986,1.056,-7.0,0.61817753,0.46499997,0.0,8.368925,0.0,434.0,1988-01-01,0.0,0.0
27,0.11288025,0.17481922,-0.07437186,0.0,1.056,-7.0,0.61817753,0.46499997,0.0,8.400884,0.0,434.0,1989-01-01,0.0,0.0
28,-0.21179771,0.11288025,-0.0010857624,-0.07437186,1.056,-7.0,0.61817753,0.46499997,0.0,8.432507,0.0,434.0,1990-01-01,0.0,0.0
29,0.39833054,-0.21179771,0.028260829,-0.0010857624,1.056,0.0,0.61817753,0.46499997,0.0,8.463793,0.0,434.0,1991-01-01,0.0,0.0
30,-0.14058055,0.39833054,0.009955803,0.028260829,1.056,6.0,0.61817753,0.46499997,0.0,8.494129,0.0,434.0,1992-01-01,0.0,0.0
31,-0.030846553,-0.14058055,0.0060863523,0.009955803,1.056,6.0,0.61817753,0.46499997,0.0,8.5271435,0.0,434.0,1993-01-01,0.0,0.0
32,0.18389,-0.030846553,0.014470779,0.0060863523,1.056,6.0,0.61817753,0.46499997,0.0,8.551934,0.0,434.0,1994-01-01,0.0,0.0
33,-0.15752746,0.18389,0.017286263,0.014470779,1.056,6.0,0.61817753,0.46499997,0.0,8.580168,0.0,434.0,1995-01-01,0.0,0.0
34,0.0053247963,-0.15752746,0.026479965,0.017286263,1.056,6.0,0.61817753,0.46499997,0.0,8.607947,0.0,434.0,1996-01-01,0.0,0.0
35,-0.029917803,0.0053247963,0.02861304,0.026479965,1.056,6.0,0.61817753,0.46499997,0.0,8.636206,0.0,434.0,1997-01-01,0.0,0.0
36,0.12649818,-0.029917803,0.01681591,0.02861304,1.056,6.0,0.61817753,0.46499997,0.0,8.664939,0.0,434.0,1998-01-01,0.0,0.0
37,-0.038862567,0.12649818,0.020730998,0.01681591,1.056,6.0,0.61817753,0.46499997,0.0,8.69415,0.0,434.0,1999-01-01,0.0,0.0
38,0.03197671,0.20698564,0.017010305,0.11815564,1.735,9.0,0.5063918,0.5,0.0,6.8046145,0.0,571.0,1981-01-01,0.0,0.0
39,-0.27932394,0.03197671,0.003547881,0.017010305,1.735,9.0,0.5063918,0.5,0.0,6.8394766,0.0,571.0,1982-01-01,0.0,0.0
40,0.05723461,-0.27932394,-0.0540404,0.003547881,1.735,9.0,0.5063918,0.5,0.0,6.8741984,0.0,571.0,1983-01-01,0.0,0.0
41,-0.20282876,0.05723461,0.03950881,-0.0540404,1.735,9.0,0.5063918,0.5,0.0,6.9097533,0.0,571.0,1984-01-01,0.0,0.0
42,0.14675282,-0.20282876,0.2003081,0.03950881,1.735,9.0,0.5063918,0.5,0.0,6.945051,0.0,571.0,1985-01-01,0.0,0.0
43,0.11736344,0.14675282,0.1390672,0.2003081,1.735,9.0,0.5063918,0.5,0.0,6.980076,0.0,571.0,1986-01-01,0.0,0.0
44,-0.20743881,0.11736344,-0.1709241,0.1390672,1.735,9.0,0.5063918,0.5,0.0,7.0157123,0.0,571.0,1987-01-01,0.0,0.0
45,0.82032686,-0.20743881,0.09198009,-0.1709241,1.735,9.0,0.5063918,0.5,0.0,7.0501227,0.0,571.0,1988-01-01,0.0,0.0
